index,team,player_1,player_2,score_1,score_2
238,Sunrisers Hyderabad,Mohammad Nabi,Rashid Khan,0,0
239,Sunrisers Hyderabad,Mohammad Nabi,B Kumar,0,1
240,Sunrisers Hyderabad,B Kumar,S Kaul,1,0
241,Sunrisers Hyderabad,S Kaul,Sandeep Sharma,0,5
242,Mumbai Indians,RG Sharma,Q de Kock,11,10
243,Mumbai Indians,Q de Kock,SA Yadav,0,7
244,Mumbai Indians,Q de Kock,Ishan Kishan,9,6
245,Mumbai Indians,KH Pandya,Ishan Kishan,6,11
246,Mumbai Indians,KA Pollard,Ishan Kishan,2,0
247,Mumbai Indians,KA Pollard,HH Pandya,6,14
248,Mumbai Indians,KA Pollard,RD Chahar,1,10
249,Mumbai Indians,KA Pollard,AS Joseph,37,0
250,Delhi Capitals,S Dhawan,PP Shaw,0,1
251,Delhi Capitals,SS Iyer,PP Shaw,33,27
252,Delhi Capitals,CA Ingram,SS Iyer,22,15
253,Delhi Capitals,SS Iyer,RR Pant,19,16
254,Delhi Capitals,CH Morris,RR Pant,0,0
255,Delhi Capitals,AR Patel,RR Pant,0,2
256,Delhi Capitals,R Tewatia,AR Patel,1,4
278,Sunrisers Hyderabad,DA Warner,JM Bairstow,1,1
279,Sunrisers Hyderabad,DA Warner,V Shankar,20,26
280,Sunrisers Hyderabad,Mohammad Nabi,DA Warner,12,12
281,Sunrisers Hyderabad,DA Warner,MK Pandey,36,19
282,Sunrisers Hyderabad,DA Warner,DJ Hooda,1,14
283,Chennai Super Kings,SR Watson,F du Plessis,17,1
284,Chennai Super Kings,SK Raina,F du Plessis,14,2
285,Chennai Super Kings,AT Rayudu,F du Plessis,21,24
286,Chennai Super Kings,F du Plessis,KM Jadhav,16,8
297,Mumbai Indians,Q de Kock,SD Lad,13,15
298,Mumbai Indians,Q de Kock,SA Yadav,7,21
299,Mumbai Indians,KA Pollard,Q de Kock,2,4
300,Mumbai Indians,KA Pollard,Ishan Kishan,23,7
301,Mumbai Indians,KA Pollard,HH Pandya,16,19
302,Mumbai Indians,KA Pollard,KH Pandya,1,1
303,Mumbai Indians,KA Pollard,AS Joseph,41,12
304,Mumbai Indians,AS Joseph,RD Chahar,3,1
310,Chennai Super Kings,SR Watson,F du Plessis,0,0
311,Chennai Super Kings,SK Raina,F du Plessis,4,1
